ID,labels,split,,,
00185772.jpg,BL,phase1_train,,,
00185756.jpg,BNE,phase1_train,,,
00185821.jpg,BNE,phase1_train,,,
00185845.jpg,BNE,phase1_train,,,
00185854.jpg,BNE,phase1_train,,,
00185769.jpg,EO,phase1_train,,,
00185830.jpg,LY,phase1_train,,,
00185836.jpg,LY,phase1_train,,,
00185864.jpg,LY,phase1_train,,,
00185840.jpg,MMY,phase1_train,,,
00185848.jpg,MMY,phase1_train,,,
00185778.jpg,MO,phase1_train,,,
00185795.jpg,MO,phase1_train,,,
00185816.jpg,MO,phase1_train,,,
00185817.jpg,MO,phase1_train,,,
00185832.jpg,MO,phase1_train,,,
00185841.jpg,MO,phase1_train,,,
00185853.jpg,MO,phase1_train,,,
00185813.jpg,PMY,phase1_train,,,
00185752.jpg,SNE,phase1_train,,,
00185754.jpg,SNE,phase1_train,,,
00185755.jpg,SNE,phase1_train,,,
00185757.jpg,SNE,phase1_train,,,
00185758.jpg,SNE,phase1_train,,,
00185759.jpg,SNE,phase1_train,,,
00185760.jpg,SNE,phase1_train,,,
00185761.jpg,SNE,phase1_train,,,
00185762.jpg,SNE,phase1_train,,,
00185763.jpg,SNE,phase1_train,,,
00185764.jpg,SNE,phase1_train,,,
00185765.jpg,SNE,phase1_train,,,
00185766.jpg,SNE,phase1_train,,,
00185768.jpg,SNE,phase1_train,,,
00185770.jpg,SNE,phase1_train,,,
00185773.jpg,SNE,phase1_train,,,
00185774.jpg,SNE,phase1_train,,,
00185775.jpg,SNE,phase1_train,,,
00185776.jpg,SNE,phase1_train,,,
00185777.jpg,SNE,phase1_train,,,
00185779.jpg,SNE,phase1_train,,,
00185780.jpg,SNE,phase1_train,,,
00185781.jpg,SNE,phase1_train,,,
00185782.jpg,SNE,phase1_train,,,
00185783.jpg,SNE,phase1_train,,,
00185784.jpg,SNE,phase1_train,,,
00185785.jpg,SNE,phase1_train,,,
00185786.jpg,SNE,phase1_train,,,
00185790.jpg,SNE,phase1_train,,,
00185791.jpg,SNE,phase1_train,,,
00185792.jpg,SNE,phase1_train,,,
00185793.jpg,SNE,phase1_train,,,
00185794.jpg,SNE,phase1_train,,,
00185796.jpg,SNE,phase1_train,,,
00185797.jpg,SNE,phase1_train,,,
00185798.jpg,SNE,phase1_train,,,
00185799.jpg,SNE,phase1_train,,,
00185800.jpg,SNE,phase1_train,,,
00185801.jpg,SNE,phase1_train,,,
00185802.jpg,SNE,phase1_train,,,
00185803.jpg,SNE,phase1_train,,,
00185804.jpg,SNE,phase1_train,,,
00185805.jpg,SNE,phase1_train,,,
00185806.jpg,SNE,phase1_train,,,
00185807.jpg,SNE,phase1_train,,,
00185810.jpg,SNE,phase1_train,,,
00185811.jpg,SNE,phase1_train,,,
00185812.jpg,SNE,phase1_train,,,
00185814.jpg,SNE,phase1_train,,,
00185815.jpg,SNE,phase1_train,,,
00185818.jpg,SNE,phase1_train,,,
00185819.jpg,SNE,phase1_train,,,
00185820.jpg,SNE,phase1_train,,,
00185822.jpg,SNE,phase1_train,,,
00185823.jpg,SNE,phase1_train,,,
00185824.jpg,SNE,phase1_train,,,
00185825.jpg,SNE,phase1_train,,,
00185826.jpg,SNE,phase1_train,,,
00185827.jpg,SNE,phase1_train,,,
00185828.jpg,SNE,phase1_train,,,
00185829.jpg,SNE,phase1_train,,,
00185831.jpg,SNE,phase1_train,,,
00185833.jpg,SNE,phase1_train,,,
00185834.jpg,SNE,phase1_train,,,
00185835.jpg,SNE,phase1_train,,,
00185837.jpg,SNE,phase1_train,,,
00185838.jpg,SNE,phase1_train,,,
00185839.jpg,SNE,phase1_train,,,
00185842.jpg,SNE,phase1_train,,,
00185843.jpg,SNE,phase1_train,,,
00185844.jpg,SNE,phase1_train,,,
00185846.jpg,SNE,phase1_train,,,
00185847.jpg,SNE,phase1_train,,,
00185849.jpg,SNE,phase1_train,,,
00185850.jpg,SNE,phase1_train,,,
00185851.jpg,SNE,phase1_train,,,
00185852.jpg,SNE,phase1_train,,,
00185855.jpg,SNE,phase1_train,,,
00185856.jpg,SNE,phase1_train,,,
00185857.jpg,SNE,phase1_train,,,
00185858.jpg,SNE,phase1_train,,,
00185859.jpg,SNE,phase1_train,,,
00185860.jpg,SNE,phase1_train,,,
00185861.jpg,SNE,phase1_train,,,
00185862.jpg,SNE,phase1_train,,,
00185863.jpg,SNE,phase1_train,,,
00185865.jpg,SNE,phase1_train,,,
00185866.jpg,SNE,phase1_train,,,
00185867.jpg,SNE,phase1_train,,,
00185868.jpg,SNE,phase1_train,,,
00185869.jpg,SNE,phase1_train,,,
00185870.jpg,SNE,phase1_train,,,
00185872.jpg,SNE,phase1_train,,,
00205734.jpg,LY,phase1_train,,,
00205737.jpg,LY,phase1_train,,,
00205743.jpg,LY,phase1_train,,,
00205645.jpg,MO,phase1_train,,,
00205703.jpg,MO,phase1_train,,,
00205704.jpg,MO,phase1_train,,,
00205726.jpg,MO,phase1_train,,,
00205742.jpg,MO,phase1_train,,,
00205644.jpg,SNE,phase1_train,,,
00205646.jpg,SNE,phase1_train,,,
00205647.jpg,SNE,phase1_train,,,
00205648.jpg,SNE,phase1_train,,,
00205649.jpg,SNE,phase1_train,,,
00205650.jpg,SNE,phase1_train,,,
00205651.jpg,SNE,phase1_train,,,
00205652.jpg,SNE,phase1_train,,,
00205653.jpg,SNE,phase1_train,,,
00205654.jpg,SNE,phase1_train,,,
00205655.jpg,SNE,phase1_train,,,
00205657.jpg,SNE,phase1_train,,,
00205658.jpg,SNE,phase1_train,,,
00205659.jpg,SNE,phase1_train,,,
00205660.jpg,SNE,phase1_train,,,
00205662.jpg,SNE,phase1_train,,,
00205666.jpg,SNE,phase1_train,,,
00205667.jpg,SNE,phase1_train,,,
00205668.jpg,SNE,phase1_train,,,
00205669.jpg,SNE,phase1_train,,,
00205670.jpg,SNE,phase1_train,,,
00205671.jpg,SNE,phase1_train,,,
00205672.jpg,SNE,phase1_train,,,
00205673.jpg,SNE,phase1_train,,,
00205674.jpg,SNE,phase1_train,,,
00205675.jpg,SNE,phase1_train,,,
00205676.jpg,SNE,phase1_train,,,
00205678.jpg,SNE,phase1_train,,,
