ID,labels,split
01416766.jpg,BA,phase2_train
01416767.jpg,BA,phase2_train
01416768.jpg,BA,phase2_train
01416769.jpg,BA,phase2_train
01416770.jpg,BA,phase2_train
01416771.jpg,BA,phase2_train
01416772.jpg,BA,phase2_train
01416773.jpg,BA,phase2_train
01416774.jpg,BA,phase2_train
01416775.jpg,BL,phase2_train
01416776.jpg,BL,phase2_train
01416777.jpg,BL,phase2_train
01416778.jpg,BL,phase2_train
01416779.jpg,BL,phase2_train
01416780.jpg,BL,phase2_train
01416781.jpg,BNE,phase2_train
01416782.jpg,BNE,phase2_train
01416783.jpg,BNE,phase2_train
01416784.jpg,BNE,phase2_train
01416785.jpg,EO,phase2_train
01416786.jpg,EO,phase2_train
01416787.jpg,EO,phase2_train
01416788.jpg,LY,phase2_train
01416789.jpg,LY,phase2_train
01416790.jpg,LY,phase2_train
01416791.jpg,LY,phase2_train
01416792.jpg,LY,phase2_train
01416793.jpg,LY,phase2_train
01416794.jpg,LY,phase2_train
01416795.jpg,LY,phase2_train
01416796.jpg,LY,phase2_train
01416797.jpg,LY,phase2_train
01416798.jpg,LY,phase2_train
01416799.jpg,LY,phase2_train
01416800.jpg,LY,phase2_train
01416801.jpg,MMY,phase2_train
01416802.jpg,MMY,phase2_train
01416803.jpg,MMY,phase2_train
01416804.jpg,MMY,phase2_train
01416805.jpg,MMY,phase2_train
01416806.jpg,MO,phase2_train
01416807.jpg,MO,phase2_train
01416808.jpg,MO,phase2_train
01416809.jpg,MO,phase2_train
01416810.jpg,MO,phase2_train
01416811.jpg,MO,phase2_train
01416812.jpg,MMY,phase2_train
01416813.jpg,MO,phase2_train
01416814.jpg,MO,phase2_train
01416815.jpg,MO,phase2_train
01416816.jpg,MO,phase2_train
01416817.jpg,MY,phase2_train
01416818.jpg,MY,phase2_train
01416819.jpg,MY,phase2_train
01416820.jpg,MY,phase2_train
01416821.jpg,MY,phase2_train
01416822.jpg,MY,phase2_train
01416823.jpg,MY,phase2_train
01416824.jpg,MY,phase2_train
01416825.jpg,MY,phase2_train
01416826.jpg,MY,phase2_train
01416827.jpg,MY,phase2_train
01416828.jpg,MY,phase2_train
01416829.jpg,MY,phase2_train
01416830.jpg,MY,phase2_train
01416831.jpg,SNE,phase2_train
01416832.jpg,SNE,phase2_train
01416833.jpg,SNE,phase2_train
01416834.jpg,SNE,phase2_train
01416835.jpg,SNE,phase2_train
01416836.jpg,SNE,phase2_train
01416837.jpg,SNE,phase2_train
01416838.jpg,SNE,phase2_train
01416839.jpg,SNE,phase2_train
01416840.jpg,SNE,phase2_train
01416841.jpg,SNE,phase2_train
01416842.jpg,SNE,phase2_train
01416843.jpg,SNE,phase2_train
01416844.jpg,SNE,phase2_train
01416845.jpg,SNE,phase2_train
01416846.jpg,SNE,phase2_train
01416847.jpg,SNE,phase2_train
01416848.jpg,SNE,phase2_train
01416849.jpg,SNE,phase2_train
01416850.jpg,SNE,phase2_train
01416851.jpg,SNE,phase2_train
01416852.jpg,SNE,phase2_train
01416853.jpg,SNE,phase2_train
01416854.jpg,MMY,phase2_train
01416855.jpg,SNE,phase2_train
01416856.jpg,SNE,phase2_train
01416857.jpg,SNE,phase2_train
01416858.jpg,SNE,phase2_train
01416859.jpg,SNE,phase2_train
01416860.jpg,BNE,phase2_train
01416861.jpg,SNE,phase2_train
01416862.jpg,SNE,phase2_train
01416863.jpg,SNE,phase2_train
01416864.jpg,SNE,phase2_train
01416865.jpg,SNE,phase2_train
01416866.jpg,SNE,phase2_train
01416867.jpg,SNE,phase2_train
01416868.jpg,SNE,phase2_train
01416869.jpg,SNE,phase2_train
01416870.jpg,SNE,phase2_train
01416871.jpg,BNE,phase2_train
01416872.jpg,SNE,phase2_train
01416873.jpg,SNE,phase2_train
01416874.jpg,SNE,phase2_train
01416875.jpg,SNE,phase2_train
01416876.jpg,SNE,phase2_train
01416877.jpg,SNE,phase2_train
01416878.jpg,SNE,phase2_train
01416879.jpg,BNE,phase2_train
01416880.jpg,SNE,phase2_train
01416881.jpg,BNE,phase2_train
01416882.jpg,SNE,phase2_train
01416883.jpg,BNE,phase2_train
01416884.jpg,SNE,phase2_train
01416885.jpg,SNE,phase2_train
01416886.jpg,SNE,phase2_train
01416887.jpg,SNE,phase2_train
01416888.jpg,SNE,phase2_train
01416889.jpg,BA,phase2_train
01416890.jpg,BA,phase2_train
01416891.jpg,BA,phase2_train
01416892.jpg,BA,phase2_train
01416893.jpg,EO,phase2_train
01416894.jpg,EO,phase2_train
01416895.jpg,EO,phase2_train
01416896.jpg,EO,phase2_train
01416897.jpg,EO,phase2_train
01416898.jpg,EO,phase2_train
01416899.jpg,EO,phase2_train
01416900.jpg,EO,phase2_train
01416901.jpg,EO,phase2_train
01416902.jpg,EO,phase2_train
01416903.jpg,EO,phase2_train
01416904.jpg,EO,phase2_train
01416905.jpg,EO,phase2_train
01416906.jpg,LY,phase2_train
01416907.jpg,LY,phase2_train
01416908.jpg,LY,phase2_train
01416909.jpg,LY,phase2_train
01416910.jpg,LY,phase2_train
01416911.jpg,LY,phase2_train
01416912.jpg,LY,phase2_train
01416913.jpg,LY,phase2_train
01416914.jpg,LY,phase2_train
01416915.jpg,LY,phase2_train
01416916.jpg,LY,phase2_train
01416917.jpg,LY,phase2_train
01416918.jpg,LY,phase2_train
01416919.jpg,LY,phase2_train
01416920.jpg,LY,phase2_train
01416921.jpg,LY,phase2_train
01416922.jpg,LY,phase2_train
01416923.jpg,MO,phase2_train
01416924.jpg,LY,phase2_train
01416925.jpg,LY,phase2_train
01416926.jpg,MO,phase2_train
01416927.jpg,LY,phase2_train
01416928.jpg,LY,phase2_train
01416929.jpg,LY,phase2_train
01416930.jpg,LY,phase2_train
01416931.jpg,LY,phase2_train
01416932.jpg,LY,phase2_train
01416933.jpg,LY,phase2_train
01416934.jpg,LY,phase2_train
01416935.jpg,LY,phase2_train
01416936.jpg,LY,phase2_train
01416937.jpg,LY,phase2_train
01416938.jpg,LY,phase2_train
01416939.jpg,LY,phase2_train
01416940.jpg,LY,phase2_train
01416941.jpg,LY,phase2_train
01416942.jpg,LY,phase2_train
01416943.jpg,LY,phase2_train
01416944.jpg,MO,phase2_train
01416945.jpg,VLY,phase2_train
01416946.jpg,MO,phase2_train
01416947.jpg,MO,phase2_train
01416948.jpg,MO,phase2_train
01416949.jpg,MO,phase2_train
01416950.jpg,MO,phase2_train
01416951.jpg,MO,phase2_train
01416952.jpg,MO,phase2_train
01416953.jpg,MO,phase2_train
01416954.jpg,MO,phase2_train
01416955.jpg,SNE,phase2_train
01416956.jpg,SNE,phase2_train
01416957.jpg,SNE,phase2_train
01416958.jpg,SNE,phase2_train
01416959.jpg,SNE,phase2_train
01416960.jpg,SNE,phase2_train
01416961.jpg,SNE,phase2_train
01416962.jpg,SNE,phase2_train
01416963.jpg,SNE,phase2_train
01416964.jpg,EO,phase2_train
01416965.jpg,SNE,phase2_train
01416966.jpg,SNE,phase2_train
01416967.jpg,SNE,phase2_train
01416968.jpg,SNE,phase2_train
01416969.jpg,SNE,phase2_train
01416970.jpg,SNE,phase2_train
01416971.jpg,SNE,phase2_train
01416972.jpg,SNE,phase2_train
01416973.jpg,SNE,phase2_train
01416974.jpg,SNE,phase2_train
01416975.jpg,SNE,phase2_train
01416976.jpg,SNE,phase2_train
01416977.jpg,SNE,phase2_train
01416978.jpg,SNE,phase2_train
01416979.jpg,SNE,phase2_train
01416980.jpg,SNE,phase2_train
01416981.jpg,SNE,phase2_train
01416982.jpg,SNE,phase2_train
01416983.jpg,SNE,phase2_train
01416984.jpg,SNE,phase2_train
01416985.jpg,SNE,phase2_train
01416986.jpg,SNE,phase2_train
01416987.jpg,SNE,phase2_train
01416988.jpg,SNE,phase2_train
01416989.jpg,SNE,phase2_train
01416990.jpg,SNE,phase2_train
01416991.jpg,SNE,phase2_train
01416992.jpg,SNE,phase2_train
01416993.jpg,SNE,phase2_train
01416994.jpg,SNE,phase2_train
01416995.jpg,SNE,phase2_train
01416996.jpg,SNE,phase2_train
01416997.jpg,SNE,phase2_train
01416998.jpg,SNE,phase2_train
01416999.jpg,SNE,phase2_train
01417000.jpg,SNE,phase2_train
01417001.jpg,SNE,phase2_train
01417002.jpg,SNE,phase2_train
01417003.jpg,SNE,phase2_train
01417004.jpg,SNE,phase2_train
01417005.jpg,SNE,phase2_train
01417006.jpg,SNE,phase2_train
01417007.jpg,EO,phase2_train
01417008.jpg,VLY,phase2_train
01417009.jpg,BA,phase2_train
01417010.jpg,BA,phase2_train
01417011.jpg,BA,phase2_train
01417012.jpg,BL,phase2_train
01417013.jpg,BL,phase2_train
01417014.jpg,BL,phase2_train
01417015.jpg,BL,phase2_train
01417016.jpg,BL,phase2_train
01417017.jpg,BL,phase2_train
01417018.jpg,BL,phase2_train
01417019.jpg,BL,phase2_train
01417020.jpg,BL,phase2_train
01417021.jpg,BL,phase2_train
01417022.jpg,BL,phase2_train
01417023.jpg,BL,phase2_train
01417024.jpg,BL,phase2_train
01417025.jpg,BL,phase2_train
01417026.jpg,BL,phase2_train
01417027.jpg,BL,phase2_train
01417028.jpg,BL,phase2_train
01417029.jpg,BL,phase2_train
01417030.jpg,BL,phase2_train
01417031.jpg,LY,phase2_train
01417032.jpg,LY,phase2_train
01417033.jpg,LY,phase2_train
01417034.jpg,LY,phase2_train
01417035.jpg,LY,phase2_train
01417036.jpg,LY,phase2_train
01417037.jpg,LY,phase2_train
01417038.jpg,LY,phase2_train
01417039.jpg,LY,phase2_train
01417040.jpg,LY,phase2_train
01417041.jpg,LY,phase2_train
01417042.jpg,LY,phase2_train
01417043.jpg,LY,phase2_train
01417044.jpg,LY,phase2_train
01417045.jpg,LY,phase2_train
01417046.jpg,LY,phase2_train
01417047.jpg,LY,phase2_train
01417048.jpg,LY,phase2_train
01417049.jpg,LY,phase2_train
01417050.jpg,LY,phase2_train
01417051.jpg,LY,phase2_train
01417052.jpg,LY,phase2_train
01417053.jpg,LY,phase2_train
01417054.jpg,LY,phase2_train
01417055.jpg,LY,phase2_train
01417056.jpg,LY,phase2_train
01417057.jpg,LY,phase2_train
01417058.jpg,LY,phase2_train
01417059.jpg,LY,phase2_train
